production_bk,production_company,production_country,production_language
66152,Filmacres,,Original
66289,Oriental Light and Magic (OLM),Japan,Original
66327,Hachiko,United States of America,Spoken
66328,Opperman Viner Chrystyn Entertainment,United States of America,Spoken
66329,L'Institut Polare Franu00e7ais Paul-u00c9mile Victor,France,Original
66330,National Geographic Films,France,Original
66331,Bonne Pioche,France,Original
66739,Qian Yian International,United States of America,Spoken
66740,Danny the Dog Prods Ltd.,United States of America,Spoken
66897,International Pictures Two,Spain,Original
66899,Cronos Entertainment AIE,Spain,Original
66930,Brothers Dowdle Productions,United States of America,Original
66930,Brothers Dowdle Productions,United States of America,Original
67035,Kramer-Tornell Productions,United States of America,Original
67069,Weimaraner Republic Pictures,United States of America,Original
67109,Rocking Chair Productions,United States of America,Spoken
67153,Nora Ephron Productions,United States of America,Spoken
67171,New Redemption Pictures,United States of America,Spoken
67173,Blue Train Productions,United States of America,Spoken
67186,Quarante 12 Films,France,Original
67244,Snee-Oosh Productions,United States of America,Original
67252,Micro Fusion 2003-2,United States of America,Spoken
67253,Gone North Productions,United States of America,Original
67334,Stuber/Parent,United States of America,Spoken
67480,Atlas 3 Productions,United States of America,Original
67504,Savage Productions,United States of America,Original
67574,Space Rocket Nation,United States of America,Original
67703,La Pasionaria S.r.l.,Spain,Original
67776,Silver Plane Films,United States of America,Spoken
67777,Mass Hysteria Entertainment,United States of America,Spoken
67778,Tri Vision Pictures,United States of America,Spoken
67780,GGR,United States of America,Original
67781,Zupnik Cinema Group II,United States of America,Original
67823,Star Partners,United States of America,Spoken
67883,Absolute Entertainment (II),United States of America,Original
67884,Cockamamie,United States of America,Original
67885,Heckerling-Caplan,United States of America,Original
67984,TaliaFilm II Productions,United States of America,Spoken
67985,Woodcote,United States of America,Spoken
67988,WV Films LLC,United States of America,Original
67989,Material,United States of America,Original
67989,Material,United States of America,Original
67990,Sloane Square Films,United States of America,Spoken
67991,HSI Tomorrow Film,United States of America,Spoken
67992,Cornelius Productions,United States of America,Spoken
68063,Winchester Films,United States of America,Original
68064,"Best Picture Show Company, The",United States of America,Original
68079,Morocco Junction Pictures,United States of America,Original
68080,1812 Productions,United States of America,Original
68081,Tricastle,United Kingdom,Original
68096,LHR Productions Inc.,United States of America,Spoken
68097,Bonnie Timmermann Productions,United States of America,Original
68117,Giving Films,United States of America,Original
68152,Kamisha Corporation,Australia,Original
68304,Crush Entertainment,United States of America,Original
68353,CKRush Entertainment,United States of America,Original
68373,Underdogg Entertainment,United States of America,Original
68384,Filmhuset Gruppen,Iceland,Original
68385,Leiknar Myndir,Iceland,Original
68467,EveryWhere Studios,United States of America,Original
68506,Gold Star Films,United States of America,Original
68543,Cinefrance,France,Original
68548,Dunulf Productions,United States of America,Original
68549,Emmitt Productions Limited,United States of America,Original
68550,ADF Acquisitions,United States of America,Original
68599,Parker Film Company,United States of America,Original
68620,Good Films,United Kingdom,Spoken
68621,St. Petersburg Clearwater Film Commission,United States of America,Spoken
69028,Clear Lake Entertainment,United States of America,Original
69029,Dog and Pony Media,United States of America,Original
69110,Tank Caterpillar,United States of America,Original
69111,Steady Aim,United States of America,Original
69292,Unstuck,United States of America,Original
69434,B24,United States of America,Spoken
69462,Centrul National al Cinematografiei (CNC),Romania,Original
69484,Alibaba Pictures Group,United States of America,Spoken
69484,Alibaba Pictures Group,United States of America,Spoken
69484,Alibaba Pictures Group,China,Original
69485,Odin,United States of America,Spoken
69542,Ahimsa Films,United States of America,Original
69579,Phantom Four Films,United States of America,Original
69581,Tremendum Pictures,United States of America,Original
69582,Rocklock Films,United States of America,Spoken
69586,Sever Studio,Russia,Original
69587,Kanal Russia 1,Russia,Original
69626,Tales From The Crypt Holdings,United States of America,Spoken
69627,Universal City Studios,United States of America,Original
69888,The Jozak Company,United States of America,Original
69889,Decade,United States of America,Original
69989,Monophonic Inc.,United States of America,Original
70319,Sunset Gower Studios,United States of America,Spoken
70993,Ehman Productions,China,Spoken
70994,Zadan / Meron Productions,United States of America,Spoken
70994,Zadan / Meron Productions,United States of America,Spoken
70995,Imagi Production,United States of America,Spoken
71170,The Cantillon Company,United Kingdom,Spoken
71171,The Shuman Company,United Kingdom,Spoken
71510,JD Prod,France,Original
71702,Making Movies,New Zealand,Original
71899,Bright Cold Day Films,United Kingdom,Original
71900,Patchwork Productions,United Kingdom,Original
71901,Bandoola Productions,United Kingdom,Original
71953,Robson Street,Canada,Original
71959,TDJ Enterprises / New Dimensions Entertainment,United States of America,Original
71960,Our Stories Films,United States of America,Original
71989,Dimension Films (US version),United States of America,Original
72017,Blue Trail Entertainment,United States of America,Original
72018,3rd Partner Productions,United States of America,Original
72063,Zapruder Films,Canada,Original
72153,Wells Productions,United States of America,Spoken
72267,Daniel Columbie Films & Productions,United States of America,Original
72408,Kaos Entertainment,United States of America,Original
72441,TIK Films,United States of America,Spoken
72441,TIK Films,United States of America,Spoken
72441,TIK Films,United States of America,Spoken
72503,Greenlit Rights,United States of America,Spoken
72565,Kawoosh! Productions DTV I,United States of America,Original
72591,Prayer Flag Pictures,Australia,Original
72598,Ministu00e8re des Affaires u00e9trangu00e8res et du Du00e9veloppement International,France,Original
72634,Jorva Entertainment Productions,United States of America,Original
72682,City of Lodz,United Kingdom,Original
72683,Phoenix Film Poland,United Kingdom,Original
72688,Chicago Overcoat Productions,United States of America,Original
72689,Beverly Ridge Pictures,United States of America,Original
72725,QC Entertainment,United States of America,Spoken
72741,CalTex Films,United States of America,Original
72823,Technical Black,United States of America,Spoken
72824,Run It Up Productions Inc.,United States of America,Spoken
72861,Dalia Films,United States of America,Original
72942,Eivissa Productions,France,Original
72943,Bushwick Factory,France,Original
73045,LHF Film,United Kingdom,Spoken
73046,Gerard Butler Alan Siegel Entertainment,United Kingdom,Spoken
73087,Blump International Films,United States of America,Original
73188,Aztec Musique,France,Original
73189,Canal Plus Overseas,France,Original
73192,Pelican Point Media,United States of America,Original
73193,Contend,United States of America,Original
73249,Pellikola,United States of America,Spoken
73316,Vengeance is Mine Productions,United States of America,Spoken
73334,The Poker House,United States of America,Original
73337,Aloha Pictures,United States of America,Original
73493,MadRiver Pictures,United States of America,Original
73620,Saville Productions,United States of America,Spoken
73624,Top Hat Releasing,United States of America,Original
73625,BH Tilt,United States of America,Original
73666,Covert Media,United States of America,Original
73675,Black Diamond Pictures,Canada,Original
73862,Filmways Productions,United States of America,Original
73872,G.T. Film Production,Germany,Spoken
73925,McCann-Erickson,Romania,Original
73926,Televiziunea Romana (TVR1),Romania,Original
73927,"Hubert Bals Fund of the Rotterdam Festival, The",Romania,Original
73949,KirchMedia,United States of America,Spoken
73950,Schine-Moore Productions,United States of America,Original
73951,Classic Media Productions,United States of America,Spoken
73952,Bullwinkle Studios,United States of America,Spoken
73953,ELC Productions Ltd.,United States of America,Original
73954,Quality Growth International Ltd.,United States of America,Spoken
73955,MBC Beteiligungs Filmproduktion,United States of America,Original
73956,Runteldat Entertainment,United States of America,Spoken
73956,Runteldat Entertainment,United States of America,Original
73956,Runteldat Entertainment,United States of America,Original
73957,"Firm, The",United States of America,Original
73964,SAF Productions,United Kingdom,Original
73998,Golden Port Productions Ltd.,United States of America,Original
74192,Eketahuna LLC,United States of America,Original
74208,Lotus Entertainment (I),United States of America,Original
74293,Mathematic,United States of America,Original
74413,Cinestyle Media Group,United States of America,Spoken
74456,Home Media & Entertainment Fund,China,Original
74457,Tencent Video,China,Original
74458,China Film & TV Capital,China,Original
74459,Visualizer Film Company,China,Original
74636,Film Vu00e4st,Sweden,Original
74695,Ming Productions,Germany,Original
74795,Nu Boyana Film Studios,United Kingdom,Spoken
74952,Tohokushinsha Film Corporation,Japan,Original
75017,LBI Productions,United States of America,Spoken
75037,Challenge Film Corporation,United Kingdom,Original
75038,XYZ Funding N.V.,United Kingdom,Original
75142,Entropy,United States of America,Original
75277,AST Studios,United States of America,Original
75278,Lowland Pictures,United States of America,Original
75348,Nunez-Gowan,United States of America,Original
75564,Morocco Film Assistance,United Kingdom,Original
75712,Ruby in Paradise,United States of America,Original
75713,Full Crew/Say Yea,United States of America,Original
75807,First Look Media,United States of America,Spoken
75937,Charenton Productions,United States of America,Original
19248,3 in the Box,United States of America,Original
19259,Ravenhouse Entertainment,Luxembourg,Spoken
19267,Conseil Ru00e9gional du Calvados,Switzerland,Original
19328,Ryan Murphy Productions,United States of America,Original
